Order Date,Category,Sub Category,Sales,Discount,Profit
2015-01-19,Snacks,Chocolates,1064,0.12,457.52
2015-01-19,Fruits & Veggies,Organic Vegetables,513,0.22,61.56
2015-01-19,Bakery,Breads & Buns,2205,0.26,815.85
2015-01-19,Beverages,Health Drinks,743,0.13,74.3
2015-01-20,Bakery,Breads & Buns,1840,0.25,570.4
2015-01-20,Fruits & Veggies,Fresh Vegetables,2294,0.24,940.54
2015-01-20,Beverages,Soft Drinks,603,0.28,168.84
2015-01-20,Oil & Masala,Spices,1813,0.19,416.99
2015-01-20,"Eggs, Meat & Fish",Mutton,1100,0.3,242
2015-01-20,Oil & Masala,Edible Oil & Ghee,1148,0.21,309.96
2015-01-20,Fruits & Veggies,Organic Vegetables,1629,0.17,733.05
2015-01-20,Fruits & Veggies,Organic Fruits,1272,0.16,139.92
2015-01-20,Oil & Masala,Spices,2054,0.33,657.28
2015-01-20,Beverages,Soft Drinks,1785,0.29,624.75
2015-01-20,"Eggs, Meat & Fish",Mutton,2126,0.28,340.16
2015-01-20,Bakery,Cakes,2350,0.15,799
2015-01-20,Bakery,Cakes,767,0.24,84.37
2015-01-20,Beverages,Soft Drinks,1768,0.13,353.6
2015-01-20,"Eggs, Meat & Fish",Eggs,2325,0.18,813.75
2015-01-20,Beverages,Soft Drinks,1393,0.3,431.83
2015-01-20,Bakery,Biscuits,1973,0.32,789.2
2015-01-21,Food Grains,Dals & Pulses,2312,0.26,485.52
2015-01-23,"Eggs, Meat & Fish",Fish,2314,0.27,624.78
2015-01-23,Bakery,Biscuits,1604,0.14,529.32
2015-01-26,Food Grains,Dals & Pulses,1384,0.26,484.4
2015-01-26,Beverages,Soft Drinks,666,0.29,133.2
2015-01-26,Snacks,Noodles,1354,0.12,176.02
2015-01-26,Fruits & Veggies,Organic Fruits,2122,0.33,530.5
2015-01-26,Snacks,Chocolates,2431,0.1,121.55
2015-01-26,Fruits & Veggies,Fresh Fruits,1050,0.11,451.5
2015-01-26,Food Grains,Organic Staples,1991,0.33,696.85
2015-01-26,Oil & Masala,Masalas,1350,0.34,499.5
2015-01-26,Oil & Masala,Spices,1916,0.21,383.2
2015-01-27,Fruits & Veggies,Organic Fruits,1394,0.25,97.58
2015-01-27,Bakery,Biscuits,2370,0.13,971.7
2015-01-27,Beverages,Soft Drinks,540,0.34,156.6
2015-01-28,Snacks,Chocolates,636,0.34,216.24
2015-01-30,Fruits & Veggies,Organic Vegetables,2262,0.1,791.7
2015-01-30,Fruits & Veggies,Fresh Vegetables,1906,0.33,457.44
2015-01-31,"Eggs, Meat & Fish",Mutton,1820,0.23,819
2015-02-01,Beverages,Soft Drinks,1338,0.27,374.64
2015-02-02,Fruits & Veggies,Organic Vegetables,525,0.27,52.5
2015-02-02,Snacks,Chocolates,612,0.16,153
2015-02-02,Oil & Masala,Spices,904,0.34,280.24
2015-02-03,Oil & Masala,Masalas,1015,0.22,152.25
2015-02-03,Oil & Masala,Masalas,1546,0.28,448.34
2015-02-04,Bakery,Breads & Buns,512,0.27,220.16
2015-02-04,Oil & Masala,Spices,1033,0.23,185.94
2015-02-04,Food Grains,Organic Staples,1871,0.34,729.69
2015-02-06,"Eggs, Meat & Fish",Mutton,1863,0.14,726.57
2015-02-06,"Eggs, Meat & Fish",Chicken,2477,0.34,123.85
2015-02-06,Oil & Masala,Edible Oil & Ghee,1592,0.14,191.04
2015-02-06,Fruits & Veggies,Organic Vegetables,1699,0.35,118.93
2015-02-07,Fruits & Veggies,Fresh Vegetables,740,0.29,155.4
2015-02-07,Snacks,Cookies,1724,0.32,310.32
2015-02-08,Snacks,Chocolates,1624,0.3,276.08
2015-02-11,Food Grains,Rice,1209,0.14,60.45
2015-02-11,"Eggs, Meat & Fish",Fish,2333,0.22,839.88
2015-02-11,Beverages,Soft Drinks,2010,0.15,402
2015-02-11,Snacks,Noodles,1695,0.23,762.75
2015-02-11,"Eggs, Meat & Fish",Fish,1772,0.3,230.36
2015-02-11,Bakery,Breads & Buns,1151,0.3,368.32
2015-02-11,Snacks,Chocolates,2261,0.33,610.47
2015-02-11,"Eggs, Meat & Fish",Chicken,1337,0.13,601.65
2015-02-11,Bakery,Breads & Buns,1774,0.17,319.32
2015-02-12,Food Grains,Dals & Pulses,2142,0.26,664.02
2015-02-14,"Eggs, Meat & Fish",Fish,652,0.26,260.8
2015-02-14,Bakery,Biscuits,1392,0.12,431.52
2015-02-14,Bakery,Biscuits,1809,0.32,253.26
2015-02-14,Bakery,Cakes,1275,0.3,522.75
2015-02-15,"Eggs, Meat & Fish",Eggs,1460,0.16,554.8
2015-02-16,Fruits & Veggies,Fresh Fruits,2490,0.24,1120.5
2015-02-16,Fruits & Veggies,Organic Vegetables,2003,0.1,821.23
2015-02-17,Fruits & Veggies,Organic Fruits,1090,0.29,305.2
2015-02-18,Food Grains,Rice,547,0.12,164.1
2015-02-18,Snacks,Cookies,527,0.21,126.48
2015-02-20,Beverages,Health Drinks,602,0.18,108.36
2015-02-20,Fruits & Veggies,Organic Fruits,1808,0.34,470.08
2015-02-20,Oil & Masala,Masalas,1319,0.15,342.94
2015-02-21,Oil & Masala,Masalas,1896,0.19,815.28
2015-02-22,"Eggs, Meat & Fish",Chicken,1618,0.16,258.88
2015-02-23,Food Grains,Organic Staples,2085,0.16,938.25
2015-02-23,Food Grains,Rice,1120,0.35,369.6
2015-02-24,Snacks,Chocolates,946,0.15,104.06
2015-02-24,Beverages,Health Drinks,672,0.24,94.08
2015-02-27,Beverages,Soft Drinks,1960,0.15,705.6
2015-03-01,Oil & Masala,Edible Oil & Ghee,1774,0.15,620.9
2015-03-01,Bakery,Cakes,1023,0.35,368.28
2015-03-01,Oil & Masala,Spices,2262,0.2,520.26
2015-03-01,"Eggs, Meat & Fish",Chicken,527,0.23,237.15
2015-03-01,Fruits & Veggies,Fresh Vegetables,1620,0.15,648
2015-03-01,Beverages,Soft Drinks,1228,0.13,466.64
2015-03-01,Fruits & Veggies,Fresh Vegetables,851,0.18,374.44
2015-03-01,Beverages,Health Drinks,1818,0.18,363.6
2015-03-01,Snacks,Chocolates,1822,0.14,255.08
2015-03-01,Beverages,Soft Drinks,2238,0.16,447.6
2015-03-02,"Eggs, Meat & Fish",Fish,1919,0.35,594.89
2015-03-02,Food Grains,Dals & Pulses,2400,0.29,792
2015-03-02,Oil & Masala,Edible Oil & Ghee,1733,0.34,675.87
2015-03-02,Snacks,Chocolates,1823,0.23,455.75
2015-03-03,"Eggs, Meat & Fish",Eggs,861,0.2,163.59
2015-03-03,Beverages,Soft Drinks,2413,0.28,530.86
2015-03-03,Snacks,Chocolates,1719,0.18,292.23
2015-03-03,Fruits & Veggies,Fresh Vegetables,1393,0.13,181.09
2015-03-03,"Eggs, Meat & Fish",Chicken,1570,0.21,518.1
2015-03-03,"Eggs, Meat & Fish",Eggs,2173,0.31,847.47
2015-03-03,"Eggs, Meat & Fish",Mutton,2079,0.11,457.38
2015-03-03,"Eggs, Meat & Fish",Mutton,2472,0.27,914.64
2015-03-03,Oil & Masala,Masalas,1289,0.11,180.46
2015-03-04,Snacks,Chocolates,1304,0.24,417.28
2015-03-04,Food Grains,Organic Staples,1450,0.29,420.5
2015-03-05,"Eggs, Meat & Fish",Mutton,1568,0.26,266.56
2015-03-05,Bakery,Biscuits,1330,0.25,505.4
2015-03-05,Beverages,Health Drinks,2321,0.24,603.46
2015-03-05,Food Grains,Organic Staples,2433,0.24,608.25
2015-03-05,Snacks,Chocolates,948,0.35,75.84
2015-03-07,Snacks,Cookies,610,0.21,54.9
2015-03-07,Oil & Masala,Masalas,2014,0.27,463.22
2015-03-07,Bakery,Breads & Buns,578,0.21,225.42
2015-03-07,"Eggs, Meat & Fish",Eggs,823,0.34,370.35
2015-03-07,Beverages,Health Drinks,2290,0.14,801.5
2015-03-07,Fruits & Veggies,Fresh Fruits,1182,0.32,153.66
2015-03-07,"Eggs, Meat & Fish",Chicken,997,0.21,179.46
2015-03-07,Snacks,Chocolates,1654,0.23,512.74
2015-03-10,"Eggs, Meat & Fish",Chicken,2275,0.3,864.5
2015-03-10,Snacks,Noodles,2076,0.1,373.68
2015-03-10,"Eggs, Meat & Fish",Eggs,1541,0.16,431.48
2015-03-11,Bakery,Breads & Buns,1189,0.24,237.8
2015-03-11,Bakery,Cakes,752,0.25,218.08
2015-03-11,"Eggs, Meat & Fish",Mutton,1008,0.1,423.36
2015-03-11,Fruits & Veggies,Organic Fruits,2251,0.1,112.55
2015-03-11,Fruits & Veggies,Organic Fruits,2401,0.14,984.41
2015-03-11,Bakery,Cakes,2381,0.27,619.06
2015-03-11,"Eggs, Meat & Fish",Fish,1975,0.32,869
2015-03-11,Oil & Masala,Masalas,1400,0.34,336
2015-03-14,Beverages,Health Drinks,1146,0.27,320.88
2015-03-14,"Eggs, Meat & Fish",Chicken,1882,0.32,319.94
2015-03-14,Bakery,Biscuits,2233,0.18,334.95
2015-03-14,Fruits & Veggies,Fresh Vegetables,1233,0.11,468.54
2015-03-14,"Eggs, Meat & Fish",Fish,1414,0.1,254.52
2015-03-14,Oil & Masala,Spices,886,0.16,177.2
2015-03-14,Beverages,Soft Drinks,2018,0.2,565.04
2015-03-14,Beverages,Health Drinks,1850,0.16,370
2015-03-14,Oil & Masala,Edible Oil & Ghee,2331,0.21,745.92
2015-03-14,Bakery,Biscuits,1985,0.22,794
2015-03-14,Oil & Masala,Edible Oil & Ghee,1572,0.15,675.96
2015-03-15,Oil & Masala,Spices,2289,0.2,618.03
2015-03-15,Snacks,Noodles,2110,0.3,590.8
2015-03-15,Beverages,Health Drinks,1577,0.33,599.26
2015-03-15,Beverages,Health Drinks,2092,0.17,920.48
2015-03-15,Beverages,Soft Drinks,2269,0.21,907.6
2015-03-16,Snacks,Noodles,2029,0.33,142.03
2015-03-17,Beverages,Health Drinks,1839,0.25,662.04
2015-03-17,Snacks,Noodles,1126,0.19,146.38
2015-03-17,Oil & Masala,Spices,2189,0.18,875.6
2015-03-17,Bakery,Biscuits,1727,0.24,690.8
2015-03-17,Bakery,Cakes,2191,0.31,810.67
2015-03-17,Beverages,Health Drinks,2433,0.35,1046.19
2015-03-17,Fruits & Veggies,Organic Vegetables,730,0.1,146
2015-03-17,"Eggs, Meat & Fish",Fish,2351,0.23,963.91
2015-03-17,Oil & Masala,Masalas,640,0.34,288
2015-03-17,Oil & Masala,Masalas,2009,0.22,241.08
2015-03-17,Oil & Masala,Masalas,1519,0.14,288.61
2015-03-17,"Eggs, Meat & Fish",Mutton,1318,0.15,210.88
2015-03-17,Snacks,Noodles,2390,0.1,454.1
2015-03-17,Food Grains,Organic Staples,792,0.24,158.4
2015-03-17,"Eggs, Meat & Fish",Chicken,697,0.25,111.52
2015-03-17,Snacks,Cookies,1234,0.16,308.5
2015-03-17,Beverages,Health Drinks,1890,0.13,737.1
2015-03-17,Fruits & Veggies,Organic Vegetables,1082,0.17,411.16
2015-03-17,Beverages,Health Drinks,1576,0.14,614.64
2015-03-18,Snacks,Chocolates,1694,0.31,677.6
2015-03-18,Oil & Masala,Spices,978,0.14,176.04
2015-03-18,Snacks,Noodles,983,0.14,226.09
2015-03-18,Snacks,Chocolates,1534,0.22,322.14
2015-03-18,Fruits & Veggies,Fresh Vegetables,1970,0.11,98.5
2015-03-18,Fruits & Veggies,Organic Vegetables,618,0.23,111.24
2015-03-18,"Eggs, Meat & Fish",Eggs,876,0.2,131.4
2015-03-18,Snacks,Chocolates,1647,0.25,230.58
2015-03-18,Beverages,Soft Drinks,2379,0.23,428.22
2015-03-18,Snacks,Cookies,1843,0.21,829.35
2015-03-18,Bakery,Cakes,1418,0.31,567.2
2015-03-19,Fruits & Veggies,Fresh Vegetables,824,0.28,230.72
2015-03-19,Beverages,Soft Drinks,2306,0.14,553.44
2015-03-19,Bakery,Biscuits,531,0.22,217.71
2015-03-19,Bakery,Cakes,1818,0.14,472.68
2015-03-19,"Eggs, Meat & Fish",Eggs,2221,0.29,932.82
2015-03-19,Beverages,Soft Drinks,1253,0.24,438.55
2015-03-19,Bakery,Cakes,1105,0.2,187.85
2015-03-21,Oil & Masala,Edible Oil & Ghee,1006,0.25,191.14
2015-03-21,Bakery,Breads & Buns,1409,0.16,380.43
2015-03-21,Snacks,Cookies,885,0.25,141.6
2015-03-21,Snacks,Chocolates,2230,0.11,825.1
2015-03-21,Food Grains,Organic Staples,2362,0.17,307.06
2015-03-21,Fruits & Veggies,Fresh Vegetables,1366,0.34,232.22
2015-03-21,Snacks,Noodles,915,0.21,228.75
2015-03-21,"Eggs, Meat & Fish",Mutton,2298,0.11,620.46
2015-03-21,Bakery,Breads & Buns,1987,0.11,536.49
2015-03-21,Beverages,Soft Drinks,2408,0.34,192.64
2015-03-21,Snacks,Noodles,1192,0.13,202.64
2015-03-22,Bakery,Cakes,1410,0.2,352.5
2015-03-22,Food Grains,Organic Staples,2173,0.26,934.39
2015-03-22,Bakery,Biscuits,2264,0.21,950.88
2015-03-22,Fruits & Veggies,Fresh Vegetables,668,0.31,86.84
2015-03-22,Oil & Masala,Masalas,2140,0.17,428
2015-03-23,Food Grains,Atta & Flour,2180,0.24,806.6
2015-03-23,Food Grains,Organic Staples,1151,0.35,391.34
2015-03-23,Beverages,Soft Drinks,1813,0.11,199.43
2015-03-24,"Eggs, Meat & Fish",Mutton,1758,0.2,158.22
2015-03-24,Oil & Masala,Spices,2053,0.17,143.71
2015-03-25,Bakery,Biscuits,1864,0.18,428.72
2015-03-25,Beverages,Health Drinks,2137,0.25,683.84
2015-03-25,"Eggs, Meat & Fish",Eggs,1951,0.27,312.16
2015-03-25,Beverages,Health Drinks,1539,0.29,200.07
2015-03-25,Fruits & Veggies,Fresh Vegetables,2264,0.34,543.36
2015-03-26,"Eggs, Meat & Fish",Fish,1953,0.35,566.37
2015-03-26,Beverages,Health Drinks,709,0.26,56.72
2015-03-26,Food Grains,Rice,2396,0.3,335.44
2015-03-26,Beverages,Health Drinks,697,0.11,202.13
2015-03-26,Fruits & Veggies,Fresh Fruits,1449,0.33,101.43
2015-03-28,Fruits & Veggies,Fresh Vegetables,959,0.21,345.24
2015-03-28,"Eggs, Meat & Fish",Chicken,1067,0.3,384.12
2015-03-28,Oil & Masala,Edible Oil & Ghee,783,0.1,274.05
2015-03-28,Beverages,Health Drinks,2028,0.11,628.68
2015-03-29,Food Grains,Atta & Flour,1726,0.32,586.84
2015-03-30,Oil & Masala,Edible Oil & Ghee,2055,0.29,267.15
2015-03-30,Fruits & Veggies,Fresh Vegetables,1738,0.35,729.96
2015-03-30,Oil & Masala,Edible Oil & Ghee,735,0.28,271.95
2015-03-30,Beverages,Soft Drinks,763,0.22,289.94
2015-03-30,Fruits & Veggies,Fresh Vegetables,1415,0.26,396.2
2015-03-30,Bakery,Cakes,2392,0.3,789.36
2015-03-30,Beverages,Health Drinks,520,0.3,150.8
2015-03-30,Food Grains,Organic Staples,845,0.14,270.4
2015-03-30,Food Grains,Organic Staples,559,0.3,100.62
2015-03-31,Fruits & Veggies,Fresh Vegetables,723,0.1,65.07
2015-03-31,Snacks,Noodles,2330,0.27,885.4
2015-03-31,Beverages,Health Drinks,989,0.21,207.69
2015-03-31,Oil & Masala,Spices,640,0.23,102.4
2015-03-31,Fruits & Veggies,Fresh Fruits,862,0.17,112.06
2015-03-31,Snacks,Noodles,1055,0.25,369.25
2015-03-31,Oil & Masala,Masalas,1174,0.23,223.06
2015-03-31,Food Grains,Dals & Pulses,2150,0.13,322.5
2015-03-31,"Eggs, Meat & Fish",Mutton,616,0.14,221.76
2015-04-01,"Eggs, Meat & Fish",Chicken,827,0.15,49.62
2015-04-01,Oil & Masala,Masalas,2308,0.27,369.28
2015-04-01,Oil & Masala,Masalas,2372,0.11,1043.68
2015-04-01,Beverages,Health Drinks,1073,0.3,236.06
2015-04-02,Snacks,Chocolates,1134,0.22,272.16
2015-04-02,Snacks,Cookies,2023,0.33,202.3
2015-04-02,Beverages,Health Drinks,1517,0.23,364.08
2015-04-02,Oil & Masala,Spices,1776,0.32,515.04
2015-04-02,Fruits & Veggies,Fresh Fruits,1826,0.27,693.88
2015-04-02,Oil & Masala,Masalas,1664,0.35,682.24
2015-04-03,Oil & Masala,Spices,1416,0.17,481.44
2015-04-03,"Eggs, Meat & Fish",Eggs,2209,0.1,706.88
2015-04-03,Fruits & Veggies,Organic Fruits,1900,0.23,437
2015-04-04,Oil & Masala,Spices,1075,0.16,408.5
2015-04-04,Fruits & Veggies,Fresh Fruits,1500,0.2,555
2015-04-04,Snacks,Cookies,1613,0.29,661.33
2015-04-04,Oil & Masala,Masalas,1904,0.12,190.4
2015-04-04,Fruits & Veggies,Organic Fruits,1593,0.12,477.9
2015-04-04,Bakery,Cakes,1501,0.33,240.16
2015-04-04,Snacks,Chocolates,983,0.22,403.03
2015-04-04,"Eggs, Meat & Fish",Eggs,1016,0.17,457.2
2015-04-05,Food Grains,Atta & Flour,2371,0.32,900.98
2015-04-05,Food Grains,Organic Staples,985,0.14,443.25
2015-04-05,Bakery,Biscuits,2052,0.26,143.64
2015-04-05,Oil & Masala,Masalas,1143,0.19,457.2
2015-04-05,Snacks,Cookies,1495,0.15,224.25
2015-04-05,Snacks,Chocolates,2349,0.32,234.9
2015-04-05,Fruits & Veggies,Organic Vegetables,565,0.35,113
2015-04-05,Oil & Masala,Edible Oil & Ghee,1108,0.27,77.56
2015-04-05,Oil & Masala,Masalas,1472,0.13,235.52
2015-04-05,"Eggs, Meat & Fish",Fish,1882,0.34,639.88
2015-04-05,Beverages,Soft Drinks,1471,0.27,397.17
2015-04-05,Snacks,Chocolates,2123,0.19,700.59
2015-04-05,Snacks,Cookies,1844,0.19,331.92
2015-04-06,Beverages,Health Drinks,627,0.18,250.8
2015-04-06,Fruits & Veggies,Fresh Fruits,1146,0.3,252.12
2015-04-06,Beverages,Soft Drinks,1024,0.31,378.88
2015-04-06,Snacks,Cookies,1000,0.26,160
2015-04-06,"Eggs, Meat & Fish",Mutton,823,0.12,98.76
2015-04-06,Snacks,Cookies,1468,0.11,205.52
2015-04-06,Oil & Masala,Masalas,1556,0.23,171.16
2015-04-06,Beverages,Health Drinks,1801,0.33,720.4
2015-04-06,Snacks,Noodles,813,0.27,300.81
2015-04-06,Fruits & Veggies,Fresh Fruits,2259,0.11,971.37
2015-04-06,Snacks,Cookies,1869,0.27,616.77
2015-04-06,Bakery,Biscuits,701,0.29,126.18
2015-04-06,"Eggs, Meat & Fish",Mutton,523,0.3,83.68
2015-04-07,Bakery,Biscuits,589,0.25,170.81
2015-04-07,Fruits & Veggies,Organic Vegetables,1125,0.29,337.5
2015-04-07,Bakery,Breads & Buns,2156,0.2,754.6
2015-04-07,Oil & Masala,Edible Oil & Ghee,1486,0.25,148.6
2015-04-07,Oil & Masala,Spices,1337,0.21,213.92
2015-04-08,Oil & Masala,Edible Oil & Ghee,2451,0.15,1004.91
2015-04-08,Beverages,Health Drinks,1955,0.2,97.75
2015-04-08,Snacks,Chocolates,640,0.18,32
2015-04-08,Snacks,Noodles,1523,0.3,441.67
2015-04-08,Beverages,Soft Drinks,1659,0.34,282.03
2015-04-08,Snacks,Noodles,978,0.24,420.54
2015-04-08,Oil & Masala,Spices,2330,0.14,1025.2
2015-04-11,Fruits & Veggies,Organic Vegetables,1374,0.32,590.82
2015-04-11,"Eggs, Meat & Fish",Eggs,2221,0.11,155.47
2015-04-11,Bakery,Breads & Buns,1359,0.32,149.49
2015-04-11,Beverages,Soft Drinks,1784,0.32,446
2015-04-11,Beverages,Soft Drinks,1867,0.24,448.08
2015-04-11,Oil & Masala,Masalas,682,0.31,170.5
2015-04-11,Oil & Masala,Spices,1455,0.32,276.45
2015-04-11,"Eggs, Meat & Fish",Fish,1559,0.17,498.88
2015-04-11,Bakery,Biscuits,1651,0.11,115.57
2015-04-12,Fruits & Veggies,Organic Fruits,1926,0.32,211.86
2015-04-12,Fruits & Veggies,Organic Vegetables,1890,0.18,680.4
2015-04-12,Bakery,Breads & Buns,1074,0.12,204.06
2015-04-12,Oil & Masala,Edible Oil & Ghee,1059,0.3,137.67
2015-04-12,Beverages,Health Drinks,1554,0.33,699.3
2015-04-12,Oil & Masala,Masalas,1200,0.26,240
2015-04-13,Oil & Masala,Edible Oil & Ghee,1697,0.21,560.01
2015-04-13,Beverages,Soft Drinks,2095,0.35,502.8
2015-04-13,"Eggs, Meat & Fish",Chicken,1132,0.24,215.08
2015-04-13,Fruits & Veggies,Organic Vegetables,1561,0.35,640.01
2015-04-13,"Eggs, Meat & Fish",Fish,1716,0.34,188.76
2015-04-15,"Eggs, Meat & Fish",Mutton,2329,0.16,675.41
2015-04-15,Oil & Masala,Masalas,2286,0.3,640.08
2015-04-16,Snacks,Cookies,1748,0.24,314.64
2015-04-18,Beverages,Health Drinks,2314,0.19,277.68
2015-04-18,Food Grains,Rice,1792,0.29,752.64
2015-04-18,Fruits & Veggies,Fresh Fruits,1028,0.15,61.68
2015-04-18,"Eggs, Meat & Fish",Eggs,2389,0.29,812.26
2015-04-18,Fruits & Veggies,Organic Vegetables,2044,0.14,633.64
2015-04-18,Bakery,Cakes,1342,0.29,93.94
2015-04-18,Beverages,Soft Drinks,1350,0.28,567
2015-04-18,Beverages,Health Drinks,2095,0.31,167.6
2015-04-19,Food Grains,Atta & Flour,2287,0.33,343.05
2015-04-19,Bakery,Breads & Buns,2341,0.15,749.12
2015-04-19,Bakery,Breads & Buns,1575,0.17,582.75
2015-04-20,Beverages,Health Drinks,2131,0.19,362.27
2015-04-20,Beverages,Soft Drinks,1030,0.29,257.5
2015-04-20,Fruits & Veggies,Organic Vegetables,801,0.17,280.35
2015-04-20,Bakery,Biscuits,2363,0.22,519.86
2015-04-21,Food Grains,Rice,1344,0.16,497.28
2015-04-21,Oil & Masala,Edible Oil & Ghee,1143,0.17,137.16
2015-04-22,Beverages,Health Drinks,770,0.23,269.5
2015-04-22,Food Grains,Organic Staples,1780,0.22,712
2015-04-23,Oil & Masala,Spices,2181,0.21,174.48
2015-04-23,Food Grains,Organic Staples,672,0.21,134.4
2015-04-23,Snacks,Noodles,1229,0.22,442.44
2015-04-23,Oil & Masala,Masalas,1630,0.1,700.9
2015-04-23,Fruits & Veggies,Organic Vegetables,2402,0.16,768.64
2015-04-23,Oil & Masala,Spices,866,0.16,303.1
2015-04-25,Snacks,Chocolates,1553,0.26,543.55
2015-04-25,"Eggs, Meat & Fish",Chicken,1108,0.26,365.64
2015-04-25,Oil & Masala,Edible Oil & Ghee,2139,0.14,149.73
2015-04-25,"Eggs, Meat & Fish",Chicken,2145,0.35,514.8
2015-04-25,"Eggs, Meat & Fish",Fish,1881,0.16,583.11
2015-04-25,Fruits & Veggies,Fresh Fruits,2344,0.21,187.52
2015-04-26,Food Grains,Organic Staples,828,0.24,66.24
2015-04-26,Snacks,Noodles,1184,0.2,390.72
2015-04-26,Bakery,Biscuits,1244,0.27,522.48
2015-04-26,"Eggs, Meat & Fish",Eggs,1265,0.16,202.4
2015-04-28,Beverages,Soft Drinks,2018,0.18,161.44
2015-04-28,Beverages,Health Drinks,876,0.33,166.44
2015-04-28,Oil & Masala,Spices,725,0.27,43.5
2015-04-28,Beverages,Soft Drinks,1797,0.34,718.8
2015-04-28,Snacks,Noodles,2020,0.22,464.6
2015-04-28,Fruits & Veggies,Organic Fruits,1077,0.29,64.62
2015-04-28,Beverages,Soft Drinks,1027,0.3,112.97
2015-04-28,Snacks,Chocolates,644,0.11,251.16
2015-04-28,Snacks,Cookies,719,0.21,179.75
2015-04-29,Snacks,Cookies,804,0.3,64.32
2015-04-29,Beverages,Health Drinks,1102,0.28,297.54
2015-04-29,"Eggs, Meat & Fish",Chicken,1243,0.28,198.88
2015-04-29,Snacks,Cookies,1531,0.21,643.02
2015-04-29,Food Grains,Rice,570,0.35,125.4
2015-04-29,Food Grains,Rice,1705,0.23,409.2
2015-04-30,Snacks,Cookies,2032,0.26,629.92
2015-04-30,"Eggs, Meat & Fish",Fish,870,0.26,365.4
2015-04-30,Oil & Masala,Spices,760,0.29,281.2
2015-05-02,Bakery,Biscuits,2463,0.13,714.27
2015-05-02,Oil & Masala,Masalas,537,0.34,53.7
2015-05-03,Bakery,Biscuits,994,0.18,347.9
2015-05-03,Food Grains,Rice,558,0.11,172.98
2015-05-03,"Eggs, Meat & Fish",Mutton,1407,0.1,337.68
2015-05-04,Beverages,Health Drinks,1055,0.3,94.95
2015-05-04,Oil & Masala,Masalas,1347,0.31,444.51
2015-05-04,Food Grains,Organic Staples,1399,0.14,139.9
2015-05-04,Fruits & Veggies,Fresh Fruits,2244,0.29,561
2015-05-04,"Eggs, Meat & Fish",Fish,933,0.25,121.29
2015-05-04,Oil & Masala,Masalas,590,0.11,35.4
2015-05-05,Snacks,Chocolates,1756,0.18,684.84
2015-05-05,Oil & Masala,Edible Oil & Ghee,2240,0.13,918.4
2015-05-05,Oil & Masala,Masalas,1898,0.19,360.62
2015-05-05,Food Grains,Rice,2155,0.12,754.25
2015-05-05,Fruits & Veggies,Fresh Fruits,1094,0.13,76.58
2015-05-05,"Eggs, Meat & Fish",Fish,1173,0.32,527.85
2015-05-05,Oil & Masala,Masalas,1245,0.24,448.2
2015-05-06,Bakery,Biscuits,1015,0.33,395.85
2015-05-06,Oil & Masala,Spices,1098,0.16,164.7
